"Sub-Sector","Super Region","Sector","Measure","Frequency","Region","Source","Indicator","Subject","Super Region","Value","Date Value","Period Value"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.550","2011-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.600","2011-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.490","2011-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.430","2011-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.320","2011-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.180","2011-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.090","2011-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.020","2011-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.020","2010-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.040","2010-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.000","2010-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.880","2010-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.900","2010-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.850","2010-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.730","2010-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.690","2010-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.640","2010-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.650","2010-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.660","2010-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.680","2010-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.710","2009-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.720","2009-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.740","2009-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.770","2009-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.860","2009-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.980","2009-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.230","2009-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.280","2009-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","1.420","2009-04-30","d"
